苏联莫斯科古比雪夫军事工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苏联莫斯科电讯工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苏联莫斯科第一医学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫斯科包曼高等工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫斯科化工机械学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫斯科大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莫斯科航空学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西北工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西南联合大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西安交通大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重庆国立中央大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金陵大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长春地质学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海中华职业学校,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海同济大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海国立暨南大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海沪江大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海私立东吴大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海雷士德工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东北大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东北林学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中华工商专科学校。东华大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国人民解放军军事工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国人民解放军测绘学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中国科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中山大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克拉科夫矿冶学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内蒙古大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前国立中央大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前苏联列宁格勒林学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前苏联茹科夫斯基军事航空工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前苏联莫斯科动力学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前苏联莫斯科地质学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京地质学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京工业学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京航空学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京辅仁大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京钢铁学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北平燕京大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北洋大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华东化工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华东纺织工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华中农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华南理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京中央大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京金陵大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南通学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原苏联列宁格勒造船学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原苏联列宁格勒铁道运输工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
