0,1
胡海涛,    胡海涛（1923.10.21-1998.10.31）工程地质与环境地质专家。四川省自贡市人。1946年毕业于中央大学获学士学位。50年代，负责进行三峡工程坝区、坝段、比选工程地质勘察，提出《长江三峡水利工程枢纽初步设计要点阶段工程地质勘察报告》，推荐三斗坪坝址为三峡工程设计坝址。参与撰写《长江三峡工程地质地震论证报告》。60年代中期，主持青藏铁路选线及站场供水的水文工程地质调查，成果获科学大会奖。80年代初，负责广东核电站规划选址的区域稳定性研究；90年代，主持并参与黄河大柳树坝址工程地质论证研究。学术上继承发展了李四光教授提出的“安全岛”学术思想，建立了区域地壳稳定性的理论和方法；并提出了“地下水网络”学说。在国内外学术会议和期刊上发表学术论文60余篇，专著3本。     1994年当选为中国工程院院士。
辛德惠,    辛德惠（1931.12.24-1999.05.27）土壤学与农业生态学专家。辽宁省开原人。1954年毕业于北京农业大学。1962年毕业于原苏联莫斯科大学获科学副博士学位。1975年作为承担黄淮海平原区域综合治理国家重点项目两位主参人之一，总结提出综合治理旱、涝、盐碱和地下水的综合配套工程技术—浅井—深沟体系；1985年“六五”攻关中正式提出完整的方法论—改造与调控盐渍化农业生态系统的工程生态设计与多层次人工控制系统的建设；1990年“七五”攻关中创立工程科技领域的一个新方向，一门新学科—普适性工程生态设计及其理论（泛生态学）；1993年指导并初步完成区域农业发展和生产系统决策和设计的现代信息工程系统。     1995年当选为中国工程院院士。
黎鳌,    黎鳌（1917.05.04-1999.08.21）烧伤、创伤专家。湖南省浏阳县人。1941年毕业于国立上海医学院。60年代初首先提出重视扶植机体抗病能力的观点，总结了简化隔离与清创、输液公式，早期防治败血症及内脏并发症等系列烧伤防治方案，40多年来救治了万余例烧伤病人，治疗水平长期居世界先进水平；70年代末，主持开展了吸入性损伤、肠源性感染的研究，完成了40多项研究项目，对其发展机理和临床早期诊治提出了系统的理论依据和方案，达到国际先进水平，获国家科技进步一、二等奖各1次，军队科技进步一、二等奖7项。发表论文400余篇，主编专著14部。     1994年当选为中国工程院院士。
戚颖敏,    戚颖敏（1929.11.04-1999.09.28）矿井通风与防灭火专家。山东省威海市人。1959年毕业于克拉科夫矿冶学院获硕士学位。40余年间坚持在科研第一线，从事矿井通风防灭火科研与工程技术项目应用推广工作。是本行业优秀的、有突出贡献的、国内外知名的专家学者。将风与火两个既矛盾又统一的理论引入煤矿安全科研与技术领域，开拓了均灭火和矿山救护技术的新领域；首次应用煤吸附流态氧新技术，发展了煤自燃特性的研究，开发出火灾预测预报新技术和新指标，取得了巨大社会效益和显著的经济效益；将电子计算机技术首先引入矿井通风科研与应用技术，促进了我国矿井通风技术的提高和现代化。     1995年当选为中国工程院院士。
吴中伟,    吴中伟（1918.07.20-2000.02.04）建筑材料与土木工程专家。江苏省江阴市人。1940年毕业于重庆国立中央大学获学士学位。长期从事水泥、砼的科学和工程研究。创建了我国第一所砼研究室；研制成功我国最早的砼外加剂即引气剂，至今仍广泛应用；在国内最早提出碱－集料反应等问题；研制成功硅酸盐自应力水泥与自应力砼，并研究钢丝网水泥，积极开发水泥船、管、杆等水泥制品代钢代木；研究开发膨胀砼并首创膨胀砼后浇缝，保证了砼建筑的整体性；首次提出砼中心质假说，为砼的组成结构和技术发展提供理论基础。多次获得国家及省部级奖励。发表学术论文近百篇，专著8本。     1994年当选为中国工程院院士。
宋鸿钊,    宋鸿钊（1915.08.13-2000.02.17）科肿瘤学专家。江苏省苏州市人。1943年毕业于北平市协和医学院获博士学位。1996年被聘任为英国(伦敦)皇家妇产科医师学院院士。长期从事妇科医疗、教学和研究工作，在妇科肿瘤研究方面成绩卓越。创建大剂量化疗治疗绒癌取得突破性成就，使全身多处转移濒临晚期病人获得再生，并仍能生育。五十年代即实现了化学药物治疗，根治恶性肿瘤，为攻克癌症起了巨大的推动作用；提出绒癌临床分期方法，经世界卫生组织讨论后推荐给国际妇产科学联盟，接受为国际统一分期标准。获1985年国家科技进步一等奖。1990年获陈嘉庚首届医学奖。1995年获何梁何利科技进步奖。     1994年当选为中国工程院院士。
刘天泉,    刘天泉（1927.11.10-2000.03.28）采矿专家，江西省萍乡县人。1927年11月10日出生。1958年波兰克拉科夫矿冶学院毕业，获硕士学位。创立了完整的矿山岩体采动响应理论体系。从采动岩体变形空间分带论、采动地表变形空间形态论、采动地层结构论到采动地层质量评价论，形成了一整套认识、预测、防治、控制矿山采动岩体和地表变形与破坏的理论体系，创新了一整套矿山特殊开采技术体系，为矿山资源开发、开采和环境安全提供了切实可行的途径，在国内外处于领先地位。在采动响应的预计与控制理论及特殊开采技术等方面出版专著10多本（含独、合著），发表论文60多篇、研究报告40多个、工程咨询报告50多个、译著2本、译文20多篇。     1994年当选为中国工程院院士。
殷震,    殷震（1926.06.28-2000.07.18）兽医专家。江苏省吴县人。1949年毕业于南通学院。在动物病毒的分离与鉴定方面取得显著成果，获国家科技进步二等奖。主编了我国第一部系统全面的《动物病毒学》巨著。在国内同类院校中率先开展基因工程、细胞工程研究，首次在实验室内实现不同属病毒基因的细胞内重组和转基因家兔的自体植入技术。主持建立国内农业院校中具有领先水平的分子病毒学实验室，在转基因动物研究领域已形成特色和优势，达到国内领先水平。创立“培养高科技人才群体立体式教学法”，为培养高水平的梯队和结构合理的跨世纪人才群体做出杰出贡献。     1995年当选为中国工程院院士。
陆孝彭,    陆孝彭（1920.08.19-2000.10.16）.飞机设计专家。江苏省常州市人。1941年毕业于重庆国立中央大学。长期从事航空事业，主持参加设计我国第一架歼教1教练机、强五系列超音速强击机和世界上最轻的超音速歼击机歼12。其中强五飞机1965年设计定型，低空操纵性稳定性达世界先进水平，现已成为我国空军主力机种，已生产并装备部队并出口，获1985年国家科技进步奖特等奖。主持变后掠技术重大课题研究，在气动布局、机翼优化设计、驱动机构和飞控系统方面取得突破。获国家科技进步奖二等奖，还主持高超音速空天往返载人系统第一级总体方案课题研究等，并获得多项成果。1978年获全国劳模称号。     1995年当选为中国工程院院士。
董建华,    董建华（1918.12.17-2001.01.26）中医内科学专家。上海市青浦县人。1935年至1942年随上海名医严二陵学医。1955－1956年江苏省中医师资进修学校进修。在数十年理论研究和临床实践的基础上，对脾胃病的辩证论治提出了“通降论”、“气血论”、“虚实论”的学术观点，补充和完善了中医学脾胃病论治理论，对消化系统疾病及内科其它系统疾病的辩证和治疗具有重要的指导意义；在温热病的治疗上，提出“辩治方法”等学术观点，对温热病的深入研究起到了促进作用。发表论文100余篇，主编专著10余部。     1994年当选为中国工程院院士。
