姓名,出生地
冯起,陕西横山
谯仕彦,四川南充阆中
侯水生,陕西三原
胡亚安,湖北云梦
杨钟健,陕西华
童第周,浙江鄞
周仁,江苏江宁
王家楫,江苏奉贤
张景钺,湖北光化
贝时璋,浙江镇海
潘菽,江苏宜兴
裴文中,河北丰南
田奇隽,湖南张家界(原大庸)
钟惠澜,葡属东帝汶的叻利岛
陈文贵,四川永川
梁希,浙江吴兴
陆学善,浙江吴兴
施汝为,江苏崇明(今属上海)
陈凤桐,河南内乡
叶渚沛,菲律宾马尼拉
恽子强,湖北武昌
王应睐,福建金门
段学复,陕西华
涂治,湖北黄陂
周培源,江苏宜兴
纪育沣,浙江鄞
涂长望,湖北汉口
叶桔泉,浙江吴兴
王之玺,河北行唐
沈其震,四川重庆
赵飞克,湖北鄂城
唐敖庆,江苏宜兴
刘仙洲,河北完
章名涛,浙江鄞
黄秉维,广东惠阳
周泽昭,四川江津
冯景兰,河南唐河
汪德昭,江苏灌云
王竹泉,河北交河
赵宗燠,四川荣昌
高庆狮,福建鼓浪屿．1957年毕业于北京大学数学力学系
李春昱,河南汲
王恒升,河北定
王鸿祯,山东苍山
于敏,河北宁河
岳希新,吉林吉林
徐士高,山东黄
史绍熙,江苏宜兴
蔡其巩,印尼泗水
庄育智,广东潮安
章综,江苏宜兴
王世真,日本千叶
翁文波,浙江鄞
肖伦,四川郫
蔡启瑞,福建同安
方心芳,河南临颖
朱既明,江苏宜兴
管惟炎,江苏如东
唐有祺,原江苏南汇
朱洪元,江苏宜兴
彭少逸,湖北武昌
谷德振,河南密
何炳林,广东番禺
黄劭显,山东即墨
汪家鼎,四川重庆
王仁,浙江吴兴
穆恩之,江苏丰
陈宗基,印度尼西亚爪哇岛
吴浩青,江苏宜兴
周廷儒,浙江新登(今富阳)
陈学俊,安徽滁
刘有成,安徽舒城
徐克勤,安徽巢
李星学,湖南郴
陈创天,浙江奉化
甘子钊,广东信宜
陈庆宣,湖北黄陂
张树政,河北束鹿
宋振骐,湖北汉阳
程镕时,江苏宜兴
安芷生,湖南芷江
李吉均,四川彭
刘新垣,酵母丙氨酸tRNA的
赵柏林,辽宁辽中
李衍达,广东东莞
屠守锷,浙江吴兴
唐崇惕,主要从事与
陈子元,浙江鄞
杨雄里,浙江镇海
孙家栋,辽宁盖
赵玉芬,湖北汉口
李德仁,江苏泰
王梓坤,湖南零陵
杨弘远, 杨弘远（1933.9.26-2010.11.18），植物学家。原籍湖南长沙。1954年毕业于武汉大学生物系。曾任武汉大学教授。1991年当选为中国科学院院士（学部委员）。与合作者首次揭示了未传粉子房与胚珠培养诱导的水稻助细胞无配子生殖和向日葵卵细胞孤雌生殖现象，为由雌性细胞诱导单倍体植株提供了理论依据。围绕胚囊结构与功能问题进行了超微结构与细胞化学研究。在精细胞分离，卵细胞与合子分离和培养，花粉原生质体和脱外壁花粉的培养、融合和转化等操作系统的建立及有关细胞生物学研究方面开展了系统的研究。正在进行植物受精前后与早期胚胎发生过程中基因表达的研究。　　
高为炳,河南卫辉
杨福愉,浙江镇海
王淀佐,辽宁凌海
席泽宗,山西垣曲
夏培肃,四川重庆
杨立铭,江苏溧水
邓锡铭,广东东菀
石青云,四川合川
李博,山东夏津
王文采,山东掖
卢永根,广东花都
母国光,辽宁锦西
吴祖泽,浙江镇海
朱兆良,浙江奉化
殷之文,江苏吴
张景中,河南汝南
吴常信,浙江嵊
王占国,河南镇平
贺贤土,浙江镇海
郭尚平,四川荣
刘瑞玉,河北乐亭
郭慕孙,湖北汉阳
万惠霖,湖北汉口
沈自尹,浙江镇海
高世扬,四川崇庆
张嗣瀛,山东章丘
王颖,河南潢川
胡敦欣,山东即墨
王志珍,江苏吴
沈岩,主要从事
卢柯,甘肃华池
林其谁,福建蒲田
饶子和,主要从事与
王鼎盛,重庆南川
贺林,长期从事
李天,吉林吉林
彭实戈,山东滨
褚君浩,江苏宜兴
汪忠镐,主要从事动脉造影及内皮细胞种植
丁仲礼,浙江嵊
姚檀栋,甘肃通渭
吴岳良,江苏宜兴
杨元喜,江苏泰
孙昌璞,辽宁普兰店
尚永丰,甘肃通渭
席南华,广东英德
罗俊,湖北沔阳
隋森芳,山东黄
王光谦,河南镇平
高鸿钧,安徽怀远
严纯华,上海川沙
南策文,湖北浠水
郭华东,江苏丰
梅宏,贵州余庆
康乐,河北唐
武向平,陕西黄龙
沈保根,浙江平湖
王会军,黑龙江桦川
方维海,安徽定远
金力,长期从事
韩布兴,河北遵化
邱勇,四川荣
向涛,湖北兴山
金之钧,山东胶南
刘维民,山东莱西
谭铁牛,湖南茶陵
丁汉,安徽枞阳
何满潮,河南灵宝
彭平安, 有机地球化学家，长期从事地质体有机质地球化学研究。1960年11月15日出生。1982年毕业于浙江大学，1991年在中国科学院地球化学研究所获博士学位。2013年当选为中国科学院院士。
赵政国,湖南靖
张平文,湖南长沙
张旭,江苏宜兴
周志鑫,安徽太湖
张锁江,河南林州
安立佳,吉林前郭
闫楚良,内蒙通辽
郝芳,内蒙古自治赤峰敖汉旗
陈仙辉,湖南湘潭
汤涛,安徽舒城
徐红星,江苏灌云
谢在库,辽宁普兰店
谢作伟,浙江苍南
韩占文,河北顺平
刘昌胜,湖北大冶
龚新高,湖南长沙
陈晔光,江西乐安
岳建民,陕西彬
顾东风,江苏启东
杨万泰,河北成安
张宏福,陕西山阳
欧阳明高,湖北天门
滕锦光,浙江永嘉
段广仁,黑龙江桦川
王秋良,湖北黄冈浠水
郑泉水,江西金溪
施剑林,江苏太仓
骆清铭,湖北蕲春
孙和平,江苏无锡江阴
王金龙,河北海兴
贾金锋,江苏金湖
丁赤飚,江苏如东
窦科峰,陕西乾
祝宁华,贵州安龙
张克勤,贵州黔西
刘仓理,陕西岐山
陈光,河北昌黎
谈哲敏,江苏宜兴
宋保亮,河南林州
张平,江苏高淳
王玉鹏,山东武城
郑婉华,吉林吉林
刘买利,陕西蓝田
