64,美国俄亥俄州大学,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,苏联列宁格勒电信工程学院,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,苏联医学科学院,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,苏联莫斯科古比雪夫军事工程学院,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,苏联莫斯科电讯工程学院,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,苏联莫斯科第一医学院,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,莫斯科包曼高等工学院,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,莫斯科化工机械学院,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,莫斯科大学,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,莫斯科航空学院,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,西北工学院,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75,西南联合大学,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,西安交通大学,1,1,0,3,1,1,1,1,0,0,0,0,1,0,2,0
77,重庆国立中央大学,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,金陵大学,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
79,长春地质学院,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
80,上海中华职业学校,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,上海同济大学,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
82,上海国立暨南大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,上海沪江大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,上海私立东吴大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,上海雷士德工学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,东北大学,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0
87,东北林学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,中华工商专科学校。东华大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,中国人民解放军军事工程学院,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
90,中国人民解放军测绘学院,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
91,中国科技大学,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
92,中山大学,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1
93,克拉科夫矿冶学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,内蒙古大学,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,前国立中央大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,前苏联列宁格勒林学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,前苏联茹科夫斯基军事航空工程学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,前苏联莫斯科动力学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,前苏联莫斯科地质学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,北京地质学院,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,北京工业学院,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102,北京理工大学,0,1,0,0,3,0,0,1,0,0,0,0,1,3,1,4
103,北京科技大学,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,1
