0,1
王树新,    专用机械设计与制造专家，主要从事制造装备与机器人技术研究。1966年9月出生于河北省张家口市宣化区市。1994年毕业于天津大学，获博士学位。     2021年当选中国工程院院士。
王向明,    飞机结构技术专家，主要从事飞机结构创新设计与制造一体化技术研究。1962年12月出生于黑龙江省绥化市。2005年毕业于北京航空航天大学（在职），获工学博士学位。     2021年当选中国工程院院士。
王云鹏,    道路智能交通专家，主要从事行车安全监测、路网协同控制、路车融合控制研究。1966年12月出生于吉林省舒兰市。1997年毕业于吉林工业大学，获博士学位。     2021年当选中国工程院院士。
王振国,    航空宇航推进领域专家，主要从事高超声速推进技术研究。1960年6月出生于湖南省常德市。1993年毕业于国防科学技术大学，获博士学位。     2017年当选中国工程院院士。
吴光辉,    飞机设计领域专家，主要从事飞机设计研究。1960年2月出生于湖北省武汉市。1982年1月毕业于南京航空学院，获学士学位，2009年1月获北京航空航天大学博士学位。     2017年当选中国工程院院士。
夏长亮,    电机设计与控制专家，主要从事电机系统及其控制研究。1968年4月出生于天津市。1995年毕业于浙江大学，获博士学位。     2017年当选中国工程院院士。
项昌乐,    机械设计及理论专家，主要从事特种车辆传动研究。1963年年4月出生于安徽省六安市霍山县。1987年毕业于北京工业学院（现北京理工大学）并留校工作，2001年获工学博士学位。     2019年当选中国工程院院士。
向锦武,    飞行器设计专家，主要从事飞行器设计、无人机系统设计、动力学与控制研究。1964年4月出生于湖南省平江县。1993年毕业于南京航空航天大学，获博士学位。     2019年当选中国工程院院士。
肖龙旭,    导弹武器控制理论与工程领域专家，主要从事导弹武器发展论证与应用工程研究。1962年6月出生于山东省寿光市。1984年毕业于原第二炮兵工程学院（现火箭军工程大学），获学士学位。     2019年当选中国工程院院士。
徐青,    舰船工程专家，主要从事水面舰船设计研究。1960年10月出生于湖北省武汉市。1982年毕业于上海交通大学，获工学学士学位。     2019年当选中国工程院院士。
严新平,    水路交通工程技术专家，主要从事船舶机械监测诊断、船舶航行风险控制、智能驾驶与自主航行等水路交通系统的安全工程与智能化研究。1959年7月出生于江西省莲花县。1997年毕业于西安交通大学，获工学博士学位。     2019年当选中国工程院院士。
杨德森,    水声工程专家，主要从事水声工程、矢量声呐、非线性水声学等方面研究。祖籍山东费县，1957年4月出生于黑龙江省牡丹江市。1998年毕业于哈尔滨工程大学，获博士研究生学位。     2015年当选中国工程院院士。
