当选年份,毕业院校,姓名,出生地
,华南工学院,1,1
,南京农学院,1,1
,南京工业大学,1,1
,南京电力专科学校,1,1
,"南京矿专地质专业,1955-1957年间留学苏联水电科学院",1,1
,南昌大学,1,1
,四川农学院,2,2
,国立中央大学,5,5
,天津中医学院,1,1
,年毕业于东北大学,1,1
,新风加工厂职工业余大学,1,1
,日本庆应大学,1,1
,武汉邮电学院,1,1
,河北省立农学院,2,2
,湖南师范学院,2,2
,空军军医大学,1,1
,美国衣阿华州立大学,1,1
,苏联列宁格勒电工学院,1,1
,苏联科学院,2,2
,苏联莫斯科铁道运输工程学院,1,1
,英国爱丁堡Heriot-Watt大学,1,1
,莫斯科有色金属学院,2,2
,莫斯科矿业学院,1,1
,莫斯科钢铁学院,1,1
,西安工程兵工程学院,1,1
,西安电子科技大学,1,1
,重庆交通学院,1,1
,黄海水产学院,1,1
,中国矿业大学,1,1
,俄罗斯莫斯科航空学院,1,1
,北京航空航天学院,2,2
,华西医科大学,1,1
,南京化工学院,1,1
,南京理工大学,4,4
,南京航空航天大学,1,1
,原南京工学院,1,1
,原苏联列宁格勒化工学院,1,1
,台湾国防医学院,1,1
,四川医学院,1,1
,山东医学院,5,5
,成都理工大学,1,1
,挪威奥斯陆大学,4,4
,武汉长江水利学校,9,9
,河北医学院,1,1
,湖南农业大学,1,1
,美国加利福尼亚大学,1,1
,莫斯科铁道学院,1,1
,西北大学,1,1
,解放军测绘学院,1,1
,上海土木工程学校,2,2
,东京工业大学,1,1
,中南大学,1,1
,中国人民解放军工程技术学院,3,3
,列宁格勒苏维埃化工学院,1,1
,加拿大不列颠哥伦比亚大学,4,4
,加拿大西安大略大学,1,1
,北京工业大学,3,3
,南京农业大学,1,1
,南京航空学院,1,1
,吉林大学,1,1
,天津医科大学,1,1
,德国慕尼黑大学,1,1
,武汉钢铁学院,1,1
,沈阳农学院,2,2
,河南理工大学,2,2
,第二军医大学,1,1
,美国威斯康辛-麦迪逊大学,2,2
,美国威斯康辛大学,1,1
,苏联莫斯科动力学院,1,1
,莫斯科地质勘探学院,2,2
,西安冶金建筑学院,1,1
,军委测绘学院,1,1
,合肥工业大学,2,2
,德国乌尔姆大学,1,1
,武汉医学院,2,2
,法国巴黎居里大学,1,1
,浙江医科大学,2,2
