,东北重型机械学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,东华大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,东京帝国大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,东京第一高等学校,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
东南大学,东南大学,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8
,东吴大学,0,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,俄克拉荷马州立大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,法国蒙伯利埃大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,法国南锡大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,菲律宾东方大学,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,福建农学院,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,福建省龙岩农业学校,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,福建师范大学,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
,福建协和大学,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,福建医学院,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,福州大学,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
,抚顺石油学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,辅仁大学,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,阜阳师范学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
复旦大学,复旦大学,1,3,3,3,14,15,20,22,25,29,36,40,42,43,44,47,47,48,48,50
,甘肃农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
,光华大学,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,广东高等师范学校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,广东文理学院,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,广西大学,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,贵州大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
,贵州农学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,国防科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6
,国立西北工学院,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,国立药学专科学校(现中国药科大学),0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
,国立云南大学,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,哈尔滨船舶工程学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,哈尔滨工业大学,0,0,0,1,2,2,2,2,4,5,5,6,6,7,7,7,7,7,7,8
,哈尔滨科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
,杭州大学,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,5,5
,杭州师范学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,合肥工业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
,河北大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,河北地质学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,河北工业学院,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,河北科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
,河北农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,河北省保定甲种农校,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,河北师范大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,河南大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
