姓名,出生地,毕业院校,当选年份
徐洵,福建省建瓯市,中国医科大学,1999
陈洪铎,浙江省绍兴市,中国医科大学,1999
葛宝丰,河北省乐亭县,中正医学院,1999
邱中建,江苏省南京市,重庆大学,1999
郑皆连,四川省内江市,重庆交通学院,1999
沈国荣,江苏省常州市,南京电力专科学校,1999
俞梦孙,浙江省余姚市,空军军医大学,1999
唐希灿,广东省潮阳县,北京大学,2001
何新贵,浙江省浦江县,北京大学,2001
何季麟,河南省开封市,北京钢铁学院,2001
赵煦,湖南省浏阳市,北京航空航天学院,2001
戚发轫,辽宁省复县,北京航空学院,2001
王浚,山西省孝义市,北京航空学院,2001
才鸿年,北京市,北京科技大学,2001
戴景瑞,辽宁省海城市,北京农业大学,2001
郑颖人,浙江省镇海县,北京石油学院,2001
多吉,西藏自治区加查县,成都理工大学,2001
杨锦宗,福建省莆田市,大连工学院,2001
姚骏恩,上海市,大连工学院,2001
樊代明,重庆市,第四军医大学,2001
于本水,吉林省长春市九台区,俄罗斯莫斯科航空学院,2001
俞永新,福建省仙游县,福建协和大学,2001
贲德,吉林省九台市,哈尔滨工业大学,2001
李猷嘉,江苏省常州市,哈尔滨工业大学,2001
王子才,山东省聊城市,哈尔滨工业大学,2001
秦裕琨,上海市,哈尔滨工业大学,2001
宫先仪,江苏省江宁市,哈尔滨军事工程学院,2001
王哲荣,是全系统全过程技术决策、组织实施的主要负责,哈尔滨军事工程学院,2001
李春岩,河北省廊坊市,河北医学院,2001
官春云,湖北省荆州市,湖南农业大学,2001
郑树森,浙江省衢州市,华西医科大学,2001
王家耀,湖北省武汉市,解放军测绘学院,2001
刘源张,山东省青岛市,美国加利福尼亚大学,2001
傅志寰,黑龙江省哈尔滨市,莫斯科铁道学院,2001
夏德全,上海市,南京大学,2001
孙忠良,上海市,南京工学院,2001
冯培德,天津市,南京航空航天大学,2001
江东亮,上海市,南京化工学院,2001
潘德炉,浙江省东阳市,南京理工大学,2001
盖钧镒,江苏省无锡市,南京农学院,2001
蔡道基,浙江省温岭市,南京农学院,2001
刘耀,山西省河曲县,内蒙古大学,2001
张运,山东省聊城市,挪威奥斯陆大学,2001
江亿,北京市,清华大学,2001
王众托,北京市,清华大学,2001
陈森玉,福建省仙游市,清华大学,2001
欧阳平凯,广西省平乐市,清华大学,2001
马伟明,江苏省扬中市,清华大学,2001
韩大匡,上海市,清华大学,2001
李伯虎,上海市,清华大学,2001
马洪琪,上海市,清华大学,2001
王三一,浙江省桐庐县,清华大学,2001
林鹏,福建省晋江市,厦门大学,2001
束怀瑞,山东淄博,山东农学院,2001
谢立信,山东省莱州市,山东医学院,2001
徐志磊,上海市,上海大同大学,2001
潘健生,广东省番禺市,上海交通大学,2001
龙乐豪,湖北省武汉市汉阳县,上海交通大学,2001
陈志恺,上海市,上海交通大学,2001
唐任远,上海市,上海交通大学,2001
张耀明,江苏省无锡市,上海同济大学,2001
魏敦山,浙江省宁波市,上海同济大学,2001
孙铁珩,辽宁省海城市,沈阳农业大学,2001
邱蔚六,四川省成都市,四川医学院,2001
徐寿波,浙江省绍兴市,苏联科学院,2001
庄辉,浙江省奉化县,苏联莫斯科第一医学院,2001
张心湜,湖南省常德市,台湾国防医学院,2001
范立础,浙江镇海,同济大学,2001
韩其为,湖北省松滋县,武汉长江水利学校,2001
顾金才,河北省卢龙县,西安工程兵工程学院,2001
孙九林,上海市,西安交通大学,2001
张彦仲,陕西省三原县,西北大学,2001
姚穆,江苏省南通市,西北工学院,2001
张乃通,江苏省扬州市,原南京工学院,2001
傅依备,湖南省岳阳县,原苏联列宁格勒化工学院,2001
陈左宁,北京市,浙江大学,2001
林俊德,福建省永春县,浙江大学,2001
范维澄,湖北省鄂州市,中国科学技术大学,2001
陈立泉,四川省南充市,中国科学技术大学,2001
许祖彦,四川省邛崃市,中国科学技术大学,2001
方家熊,安徽省黄山市,中国科学院,2001
谢和平,湖南省双峰县,中国矿业大学,2001
吴天一,新疆维吾尔自治区伊犁哈萨克自治州,中国医科大学,2001
沈忠厚,四川省大竹县,重庆大学,2001
干勇,四川省内江市,东北工学院,2001
郭予元,广东潮阳,北京农业大学,2001
赵文津,天津,清华大学,2001
林元培,上海,上海土木工程学校,2003
龚知本,江苏省太仓市,北京大学,2003
孙承纬,上海市,北京大学,2003
张在明,云南省昆明市,北京工业大学,2003
刘昌孝,湖南省永兴县,北京医学院,2003
李连达,辽宁省沈阳市,北京医学院,2003
陈焕春,湖北省恩施市,德国慕尼黑大学,2003
刘志红,甘肃省临洮县,第二军医大学,2003
柴天佑,甘肃省兰州市,东北工学院,2003
侯保荣,山东省菏泽市曹县,东京工业大学,2003
陈赛娟,上海市,法国巴黎第七大学,2003
陈克复,广东省海丰县,复旦大学,2003
汪应洛,安徽省芜湖市,哈尔滨工业大学,2003
王天然,黑龙江省海伦县,哈尔滨工业大学,2003
欧进萍,湖南省宁远县,哈尔滨工业大学,2003
桑凤亭,辽宁省大连市,哈尔滨工业大学,2003
徐玉如,江苏省如皋市,哈尔滨军事工程学院,2003
王景全,江西省南昌市,哈尔滨军事工程学院,2003
宋文骢,云南省昆明市,哈尔滨军事工程学院,2003
张铁岗,河南省许昌市,河南理工大学,2003
茆智,江苏省南京市,华东水利学院,2003
陆佑楣,上海市,华东水利学院,2003
孟执中,浙江诸暨,华南工学院,2003
衣宝廉,辽宁省辽阳县,吉林大学,2003
周福霖,广东省汕头市,加拿大不列颠哥伦比亚大学,2003
李焯芬,广东省中山市,加拿大西安大略大学,2003
屈梁生,江苏省常熟市（县）,交通大学,2003
董海山,河北省滦县,列宁格勒苏维埃化工学院,2003
辛世文,广东省湛江市,美国威斯康辛大学,2003
李培根,湖北省武汉市,美国威斯康辛-麦迪逊大学,2003
李佩成,陕西省咸阳市,莫斯科地质勘探学院,2003
石屏,江西省鄱阳县,南京航空学院,2003
夏咸柱,江苏省盐城市建湖县,南京农业大学,2003
刘怡昕,山东省青岛市,炮兵工程学院,2003
王瑞珠,湖南省衡阳市,清华大学,2003
王玉明,吉林省梨树县,清华大学,2003
张超然,浙江省温州市,清华大学,2003
戴尅戎,福建省厦门市,上海第一医学院,2003
项坤三,天津市,上海第一医学院,2003
赵连城,江苏省盐城市,上海交通大学,2003
王礼恒,江苏省镇江市,上海交通大学,2003
陈宗懋,上海市,沈阳农学院,2003
荣廷昭,重庆市,四川农学院,2003
叶奇蓁,湖北省武汉市,苏联莫斯科动力学院,2003
叶声华,湖北省沙市,天津大学,2003
谢克昌,山西省太原市,天津大学,2003
郝希山,河北省阜城县,天津医科大学,2003
邹德慈,上海市,同济大学,2003
张祖勋,江苏省无锡市,武汉测绘学院,2003
雷清泉,四川省岳池市,西安交通大学,2003
徐德龙,甘肃兰州,西安冶金建筑学院,2003
马远良,四川省隆昌市,西北工业大学,2003
周寿桓,四川省成都市,中国科学技术大学,2003
邬江兴,浙江省嘉兴市,中国人民解放军工程技术学院,2003
黄瑞松,江苏省宜兴市,中国人民解放军军事工程学院,2003
张文海,福建省福州市,中南大学,2003
孙才新,重庆市垫江县,重庆大学,2003
苏义脑,河南省洛阳市,武汉钢铁学院,2003
孙传尧,黑龙江省饶河县,东北工学院,2003
丁伯南,江苏武进,哈尔滨军事工程学院,2003
张信威,湖南省涟源市,北京大学,2005
刘韵洁,山东省烟台市,北京大学,2005
王一德,浙江省杭州市,北京钢铁学院,2005
尹泽勇,重庆市,北京航空航天大学,2005
苏哲子,陕西省咸阳市,北京理工大学,2005
尹伟伦,天津市,北京林学院,2005
王红阳,江苏省徐州市,德国乌尔姆大学,2005
曹雪涛,山东省济南市,第二军医大学,2005
程泰宁,江苏省南京市,东南大学,2005
袁士义,山东省曹县,法国巴黎居里大学,2005
方滨兴,黑龙江省哈尔滨市,哈尔滨工业大学,2005
陈鲸,安徽省安庆市怀宁县,合肥工业大学,2005
王基铭,上海市,华东化工学院,2005
沈荣骏,安徽省合肥市,军委测绘学院,2005
郝吉明,山东省梁山县,美国辛辛那提大学,2005
陈丙珍,江苏省无锡市,莫斯科门捷列夫化工学院,2005
童晓光,浙江省嵊县,南京大学,2005
黄培康,上海市,南京工学院,2005
徐南平,安徽省桐城市,南京化工学院,2005
程顺和,江苏省溧阳市,南京农学院,2005
王浩,北京市,清华大学,2005
范本尧,广东省汕头市,清华大学,2005
戴浩,江苏省阜宁县,清华大学,2005
陈念念,上海市,清华大学,2005
安继刚,上海市,清华大学,2005
钟志华,湖南省湘阴市,瑞典林雪平（Linkoping）大学,2005
雷霁霖,福建省宁化县,山东大学,2005
闻雪友,上海市,上海交通大学,2005
刘秀梵,江苏省靖江市（县）,苏北农学院,2005
陈予恕,山东省肥城市,苏联科学院,2005
余贻鑫,北京密云县,天津大学,2005
张伯礼,天津市,天津中医学院,2005
梁文灏,上海市,同济大学,2005
沈祖炎,浙江省杭州市,同济大学,2005
朱英国,湖北省罗田县,武汉大学,2005
周宏灏,湖南省长沙市,武汉医学院,2005
卢秉恒,安徽省亳州市,西安交通大学,2005
赵振业,河南省原阳县,西北工业大学,2005
徐德民,陕西省三原县,西北工业大学,2005
范上达,香港,香港大学,2005
康玉柱,辽宁省北宁市,长春地质学院,2005
孙永福,陕西省西安市,长沙铁道学院,2005
李兰娟,浙江省绍兴市,浙江医科大学,2005
吴以成,广西玉林市,中国科学技术大学,2005
丁一汇,安徽省亳州市,中国科学院,2005
许其凤,天津市,中国人民解放军测绘学院,2005
陈君石,上海市,中国医学科学院,2005
王国栋,辽宁省大连市,东北工学院,2005
孙伟,山东省胶州市,南京工学院,2005
陈福田,辽宁省抚顺市,北京航空学院,2007
徐扬生,浙江省绍兴市,宾夕法尼亚大学,2007
陈志南,江苏省无锡市,第四军医大学,2007
刘兴土,马来西亚马六甲,东北师范大学,2007
陈肇隆,台湾省高雄市,高雄医学大学,2007
张金麟,河北省滦南县,哈尔滨工业大学,2007
杨凤田,辽宁省义县,哈尔滨军事工程学院,2007
庞国芳,河北省滦南县,河北大学,2007
马克俭,湖南省岳阳市,湖南大学,2007
邓秀新,湖南省宜章县,华中农业大学,2007
颜龙安,江西省萍乡市,江西农业大学,2007
黄卫,江苏省南通市,南京工学院,2007
张全兴,江苏省常州市,南开大学,2007
方国洪,浙江省瑞安市,南开大学,2007
雷志栋,湖南省澧县,清华大学,2007
李立浧,江苏省建湖县,清华大学,2007
陈香美,朝鲜咸镜北道清津市,日本北里大学,2007
张尧学,湖南省澧县,日本东北大学,2007
于振文,北京市,山东农学院,2007
李大鹏,浙江省永嘉县,上海第一医学院,2007
张兴栋,四川省南充市,四川大学,2007
姜德生,湖北省武汉市,武汉建筑材料工业学院,2007
王小东,甘肃省兰州市,西安冶金建筑学院,2007
袁国勇,香港,香港大学,2007
屠海令,北京市,英国巴斯大学,2007
屠海令,北京市,英国巴斯大学,2007
臧克茂,江苏省常州市,浙江大学,2007
谭建荣,浙江省湖州市,浙江大学,2007
彭苏萍,江西省萍乡市,中国矿业大学,2007
许庆瑞,江苏省常州市,中国人民大学,2007
王玉普,辽宁新民,中国石油大学,2007
邱贵兴,江苏省无锡市,中国协和医科大学,2007
金鉴明,浙江省杭州市,上海复旦大学,2007
张生勇,陕西省咸阳市,（法国）巴黎南大学,2009
麦康森,广东省化州市,爱尔兰国立大学,2009
麦康森,广东省化州市,爱尔兰国立大学,2009
张建云,江苏省沛县,爱尔兰国立大学,2009
袁亮,安徽省金寨县,安徽理工大学,2009
付贤智,福建省邵武市,北京大学,2009
万元熙,四川省绵竹县,北京大学,2009
孙宝国,山东省招远县,北京轻工业学院,2009
廖万清,新加坡,第四军医大学,2009
于全,江西省九江市,法国里摩日大学,2009
吴曼青,安徽省桐城市,国防科技大学,2009
周玉,黑龙江省五常市,哈尔滨工业大学,2009
曲久辉,吉林省农安市,哈尔滨工业大学,2009
任南琪,黑龙江省哈尔滨市,哈尔滨建筑大学,2009
罗锡文,湖南省株洲市,华南农学院,2009
段正澄,江苏省镇江市,华中工学院,2009
邓中翰,江苏省南京市,加州大学,2009
杨永斌,福建省金门县,康奈尔大学,2009
翁宇庆,四川省西昌市,美国宾夕法尼亚大学,2009
于俊崇,江苏省盐城市滨海县,南京工学院,2009
吴以岭,河北省故城县,南京中医药大学,2009
岳光溪,北京市,清华大学,2009
栾恩杰,吉林省白城地区市,清华大学,2009
周克崧,上海市,清华大学,2009
丁健,上海市,日本国立九州大学,2009
李玉,山东省济南市,日本筑波大学,2009
周良辅,海南省海口市,上海第一医学院,2009
陈温福,辽宁省法库县,沈阳农业大学,2009
石碧,四川省成都市,四川大学,2009
钟登华,江西省赣州市,天津大学,2009
杨宝峰,吉林省松原市,同济医科大学,2009
付小兵,四川省资阳市,西班牙马德里大学,2009
秦顺全,四川省绵竹市,西南交通大学,2009
周守为,四川省蓬溪县,西南石油大学,2009
南志标,河北省曲阳县,新西兰梅西大学,2009
张改平,河南省内黄县,英国赫特福德大学,2009
程京,北京市,英国史查克莱大学,2009
马永生,内蒙古自治区土默特左旗市,中国地质科学院,2009
董春鹏,河北省秦皇岛市,中国科技大学,2009
刘炯天,河南省西峡县,中国矿业大学,2009
刘旭,河北省定州市,中国农业科学院,2009
刘旭,河北省定州市,中国农业科学院,2009
刘永才,吉林省长春市,中国人民解放军军事工程学院,2009
王陇德,甘肃省兰州市,中国医学科学院,2009
金东寒,黑龙江省绥化市,武汉水运工程学院,2009
侯立安,江苏省徐州市,西安冶金建筑学院,2009
何华武,四川省资阳市,西南交通大学,2009
徐祥德,天津市,南京气象学院,2009
王如松,江苏省南京市,安徽师范大学,2011
郎景和,吉林省珲春市,白求恩医科大学,2011
王海舟,福建省福州市,北京大学,2011
杨绍卿,辽宁省康平县,北京大学,2011
甘晓华,江西省临川县（今属进贤县）,北京航空航天大学,2011
张玉卓,山东省寿光市,北京科技大学,2011
郭东明,河南省温县,大连理工大学,2011
赵晓哲,辽宁省大连市,大连理工大学,2011
徐惠彬,吉林省大安市,德国柏林工业大学,2011
李坚,辽宁省阜新市,东北林业大学,2011
胡文瑞,甘肃省平凉市,东北石油大学,2011
吕跃广,山东省东营市,哈尔滨工业大学,2011
丛斌,黑龙江省齐齐哈尔市,河北医科大学,2011
王超,江苏省滨海县,河海大学,2011
周绪红,湖南省南县,湖南大学,2011
钱旭红,江苏省扬州宝应市,华东化工学院,2011
孙龙德,山东省寿光市,华东石油学院,2011
瞿金平,湖北省黄梅县,华南理工大学,2011
沈祖尧,香港,加拿大卡尔加里大学,2011
陈志杰,广东省梅县,空军工程大学,2011
陈祥宝,江苏省常熟市,鲁汶大学,2011
缪昌文,江苏省姜堰市,南京工学院,2011
王学浩,江苏省建湖县,南京医科大学,2011
李天初,贵州省贵阳市,清华大学,2011
谭天伟,湖南省湘潭市,清华大学,2011
徐銤,江苏省扬州市,清华大学,2011
高文,辽宁省大连市,日本东京大学,2011
于金明,山东省潍坊市,山东大学,2011
朱英富,上海市,上海交通大学,2011
林忠钦,上海市,上海交通大学,2011
崔愷,北京,天津大学,2011
苏万华,黑龙江省佳木斯市,天津大学,2011
李建成,内蒙古自治区集宁市,武汉测绘科技大学,2011
段宝岩,河北省冀州市,西安电子科技大学,2011
唐长红,陕西省蓝田市,西北工业大学,2011
喻树迅,湖北省麻城市,西北农林科技大学,2011
康绍忠,湖南省桃源县,西北农业大学,2011
吾守尔·斯拉木,新疆维吾尔自治区伊犁察布查尔县,新疆大学,2011
陈剑平,浙江省宁波市,英国邓迪大学,2011
龚晓南,浙江省金华市,浙江大学,2011
刘连元,北京市,中国科学技术大学,2011
李言荣,四川省射洪市,中国科学院,2011
朱有勇,云南省个旧市,中国农业大学,2011
吴孔明,河南省固始县,中国农业科学院,2011
詹启敏,江西省乐平市,中国协和医科大学,2011
徐建国,山西省平陆县,中国预防医学科学院,2011
丁荣军,江苏省宜兴市,中南大学,2011
邱冠周,广东省梅州市,中南工业大学,2011
李晓红,重庆市,重庆大学,2011
刘加平,陕西省大荔县,重庆建筑大学,2011
谢剑平,江苏省常州市,南京师范学院,2011
段宁,江苏省南京市,同济大学,2011
赵宪庚,山西省忻县,山西大学,2011
张军,安徽省合肥市,北京航空航天大学,2013
杜彦良,河北省张家口市,北京航空航天大学,2013
樊会涛,河南省汝阳县,北京航空航天大学,2013
李仲平,湖北省安陆市,北京航空航天大学,2013
费爱国,江苏省清江市,北京科技大学,2013
林东昕,福建省福州市,北京医科大学,2013
蹇锡高,重庆市江津区,大连理工大学,2013
夏照帆,福建省福州市,第二军医大学,2013
韩雅玲,辽宁省沈阳市,第二军医大学,2013
郭仁忠,江苏省盐城市,法国Franche-Comté大学,2013
欧阳晓平,海南省海口市,复旦大学,2013
周建平,湖南省沅陵县,国防科技大学,2013
宋君强,湖南省宁乡市,国防科学技术大学,2013
杨善林,安徽省怀宁县,合肥工业大学,2013
赵振东,山东省德州市,湖南农学院,2013
李阳,山东省泰安市,华东石油学院,2013
李元元,广东省梅州市,华南理工大学,2013
尤政,江苏省扬州市,华中科技大学,2013
钮新强,浙江省湖州市,华中科技大学,2013
李骏,吉林省长春市,吉林工业大学,2013
夏佳文,重庆市涪陵区,兰州大学,2013
李德发,河北省隆化县,美国堪萨斯州立大学,2013
赵沁平,山西省介休市,南京大学,2013
聂建国,湖南省衡阳市,南斯拉夫铁托格勒大学,2013
何友,吉林省磐石市,清华大学,2013
胡春宏,山西省晋中市榆次区,清华大学,2013
肖绪文,陕西省商洛市,清华大学,2013
朱蓓薇,陕西省咸阳市,日本冈山大学,2013
陈勇,江苏省南京市,日本名古屋大学,2013
蔡美峰,江苏省如东县,上海交通大学,2013
丁文江,上海市,上海交通大学,2013
徐芑南,浙江省宁波市,上海交通大学,2013
王辰,北京市,首都医科大学,2013
张广军,天津市汉沽区,天津大学,2013
杨小牛,浙江省龙游县,西安电子科技大学,2013
赵文智,河北省昌黎县,西北大学,2013
刘文清,安徽省蚌埠市,希腊克里特大学,2013
王广基,江苏省扬州市,新西兰奥塔哥大学,2013
杨华勇,重庆市,英国巴斯大学,2013
蒋庄德,辽宁省庄河市,英国伯明翰大学,2013
丁文华,北京市,中国传媒大学,2013
俞建勇,上海市,中国纺织大学,2013
张偲,海南省文昌市,中国科学院,2013
黄维和,上海市,中国石油大学,2013
胡盛寿,湖北省武汉市,中国协和医科大学,2013
韩德民,辽宁省大连市,中国医科大学,2013
桂卫华,湖北省武汉市,中南矿冶学院,2013
郭剑波,湖北省武汉市,华中工学院,2013
印遇龙,湖南省桃源县,湖南师范大学,2013
陈学庚,江苏省泰兴市,新疆兵团奎屯农校,2013
张新友,河南省太康县,百泉农业专科学校,2015
高长青,内蒙古包头市,包头医学院,2015
任辉启,湖南省长沙市,北京大学,2015
张远航,重庆市,北京大学,2015
孙聪,辽宁省沈阳市,北京航空航天大学,2015
向巧,重庆市彭水县,北京航空航天大学,2015
毛新平,湖北省鄂州市,北京科技大学,2015
樊邦奎,安徽省滁州市,北京理工大学,2015
黄璐琦,江西省婺源县,北京医科大学,2015
唐华俊,四川省阆中市,比利时根特大学,2015
谭述森,重庆开县,成都电讯工程学院,2015
王复明,河南省周口市,大连理工大学,2015
邵安林,黑龙江省肇东市,东北大学,2015
王建国,江苏省常州市,东南大学,2015
孟建民,江苏省徐州市,东南大学,2015
李建刚,安徽合肥市,哈尔滨工程大学,2015
杨德森,黑龙江省牡丹江市,哈尔滨工程大学,2015
彭永臻,黑龙江省哈尔滨市,哈尔滨工业大学,2015
凌文,黑龙江省哈尔滨市,哈尔滨工业大学,2015
邱志明,山东临沂,海军工程学院,2015
刘吉臻,山西省岚县,华北电力学院,2015
钱锋,江苏省扬中县,华东理工大学,2015
吴清平,广东省蕉岭县,华南理工大学,2015
王迎军,河北省唐县,华南理工大学,2015
李松,辽宁省本溪市,吉林大学,2015
邓运华,湖北省红安县,江汉石油学院,2015
张洪程,江苏通州,江苏农学院,2015
金智新,辽宁省锦州市,辽宁工程技术大学,2015
曹福亮,江苏省泰州市,南京林产工业学院,2015
宋宝安,广东省深圳市,南京农业大学,2015
杨志峰,河北省辛集市,清华大学,2015
廖湘科,湖南省涟源市,清华大学,2015
李德群,江苏省泰县,清华大学,2015
王恩东,山东省济南市,清华大学,2015
吴建平,山西省太原市,清华大学,2015
贺克斌,四川省成都市,清华大学,2015
谢建新,湖南省双峰县,日本东北大学,2015
万建民,江苏省泰兴市,日本京都大学,2015
李卫,北京市,山东大学,2015
张志愿,江苏省吴江县,上海第二医科大学,2015
宁光,山东省滨州市,上海第二医科大学,2015
顾晓松,江苏省南通市,上海医科大学,2015
李天来,辽宁省绥中县,沈阳农业大学,2015
李根生,安徽省石台县,石油大学,2015
陈芬儿,江西省抚州市,四川大学,2015
王玉忠,山东省威海市,四川大学,2015
李魁武,河北省井陉县,太原机械学院,2015
丁烈云,湖北省洪湖市,同济大学,2015
余少华,湖北武汉,武汉大学,2015
陈政清,湖南省湘潭市,西安交通大学,2015
侯晓,陕西省岐山县,西北工业大学,2015
柴洪峰,山东省诸城市,西南财经大学,2015
郑健龙,湖南省邵东县,长安大学,2015
姜会林,辽宁省沈阳市,长春光机学院,2015
陈学东,安徽省铜陵市,浙江大学,2015
罗安,湖南省长沙市,浙江大学,2015
陈建峰,浙江省慈溪市,浙江大学,2015
陈纯,浙江省象山县,浙江大学,2015
武强,内蒙古自治区呼和浩特市,中国地质大学,2015
吴伟仁,四川省平昌县,中国科技大学,2015
刘中民,河南省周口市,中国科学院,2015
李家彪,浙江省杭州市,中国科学院,2015
李家彪,浙江省杭州市,中国科学院,2015
顾大钊,江苏省滨海县,中国矿业大学,2015
康红普,山西省五台县,中国矿业大学,2015
王华明,四川省合江县,中国矿业大学,2015
沈建忠,浙江省桐乡市,中国农业大学,2015
金宁一,吉林省龙井市,中国人民解放军农牧大学,2015
田红旗,河南省鲁山县,长沙铁道学院,2015
田志刚,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市,白求恩医科大学,2017
宁滨,山西省运城市,北方交通大学,2017
周济,吉林省九台县,北京大学,2017
邓建军,江西省吉安市,北京工业学院,2017
唐立,宁夏回族自治区石嘴山市,北京航空航天大学,2017
陈杰,福建省福清市,北京理工大学,2017
王沙飞,河北省张家口市,北京理工大学,2017
孙逢春,湖南省临澧县,北京理工大学,2017
张守攻,安徽省淮南市,北京林业大学,2017
张守攻,安徽省淮南市,北京林业大学,2017
赵春江,河北省保定市,北京农业大学,2017
乔杰,黑龙江省哈尔滨市,北京医科大学,2017
王琪,四川省自贡市,成都科技大学,2017
孔宪京,江苏省南京市,大连理工大学,2017
张福锁,陕西省凤翔县,德国Hohenheim大学,2017
吴志强,上海市,德国柏林工业大学,2017
李兆申,河北省宁晋县,第二军医大学,2017
董家鸿,江苏省灌云县,第三军医大学,2017
黄小卫,湖南省常德市,东北大学,2017
戴琼海,上海市,东北大学,2017
刘永坚,湖南省冷水江市,国防科技大学,2017
冯煜芳,浙江省余姚市,国防科技大学,2017
王振国,湖南省常德市,国防科学技术大学,2017
刘合,黑龙江省哈尔滨市,哈尔滨工程大学,2017
谭久彬,黑龙江省哈尔滨市,哈尔滨工业大学,2017
邓宗全,黑龙江省双鸭山市,哈尔滨工业大学,2017
何琳,陕西省西安市,海军工程学院,2017
朱利中,浙江省绍兴市,杭州大学,2017
张英泽,河北省衡水市,河北医学院,2017
邓铭江,新疆维吾尔自治区库尔勒市,河海大学,2017
邹学校,湖南省衡阳县,湖南农学院,2017
王汉中,湖南省涟源市,华中农业大学,2017
彭金辉,云南省景东市,昆明理工大学,2017
王锐,甘肃省兰州市,兰州大学,2017
戴厚良,江苏省扬州市,南京工业大学,2017
吴光辉,湖北省武汉市,南京航空学院,2017
包振民,山东省烟台市,青岛海洋大学,2017
陈湘生,湖南省湘潭市,清华大学,2017
王金南,浙江省金华市,清华大学,2017
张联盟,湖北省天门市,日本东北大学,2017
贺泓,河北省邯郸市,日本东京大学,2017
陈晓红,湖南省长沙市,日本东京工业大学,2017
张建民,陕西省商洛市,日本东京工业大学,2017
李华军,天津市,日本京都大学,2017
刘泽金,山东省无棣县,山东大学,2017
蒋兴伟,天津市,山东海洋学院,2017
吴锋,北京市,太原工学院,2017
马丁,云南省昆明市,同济医科大学,2017
陈坚,江苏省扬州市,无锡轻工业学院,2017
谢先启,湖北省洪湖市,武汉科技大学,2017
范国滨,北京市,西安电子科技大学,2017
王双明,陕西省岐山县,西安矿业学院,2017
潘复生,浙江省（自治区）兰溪市（县）,西北工业大学,2017
康振生,四川省安岳市,西北农林科技大学,2017
卢春房,河北省蠡县,西南交通大学,2017
孙金声,江西省于都县,西南石油大学,2017
黄庆学,吉林省舒兰市,燕山大学,2017
王国法,山东省文登县现威海市南海新区,原山东工学院,2017
夏长亮,天津市,浙江大学,2017
郑裕国,浙江省象山县,浙江工业大学,2017
陆军,江苏省苏州市,中国科学技术大学,2017
汤广福,安徽省滁州市,中国科学院,2017
吴丰昌,浙江省衢州市,中国科学院,2017
聂祚仁,湖南省长沙市,中南大学,2017
周志成,北京市,成都科技大学,2017
岳清瑞,黑龙江省齐齐哈尔市,清华大学,2017
蒋剑春,江苏省溧阳市,华东理工大学,2017
毛景文,山西省运城市,河北地质学院,2017
李贤玉,黑龙江省牡丹江市,北京大学,2019
董尔丹,内蒙古自治区包头市,北京大学,2019
项昌乐,安徽省六安市霍山县,北京工业学院,2019
苏东林,北京市,北京航空航天大学,2019
曹建国,安徽枞阳,北京航空学院,2019
杨树兴,河北省唐山市,北京理工大学,2019
王俊,河南省淮滨县,北京医科大学,2019
张平,陕西省汉中市,北京邮电大学,2019
刘正东,内蒙突泉（原属吉林白城）,不列颠哥伦比亚大学,2019
冯夏庭,安徽省潜山县,东北大学,2019
唐立新,黑龙江省兰西市,东北大学,2019
张平祥,陕西省宝鸡市,东北大学,2019
刘良,湖南省汉寿县,广州中医药大学,2019
张佳宝,江苏省高邮市,国际水稻研究所/菲律宾大学,2019
李贺军,河南省驻马店市,哈尔滨工业大学,2019
曹喜滨,黑龙江省肇东市,哈尔滨工业大学,2019
魏毅寅,辽宁省台安县,哈尔滨工业大学,2019
马军,黑龙江省牡丹江市,哈尔滨建筑工程学院,2019
王坚,浙江省杭州市,杭州大学,2019
徐祖信,江西省萍乡市,河海大学,2019
徐建,辽宁省大连市,湖南大学,2019
王耀南,云南省龙陵县,湖南大学,2019
舒印彪,河北省涿州市,华北电力大学,2019
孙丽丽,山东省烟台市,华东石油学院,2019
邵新宇,江苏省靖江市,华中理工大学,2019
李培武,山东省菏泽市,华中农业大学,2019
陈卫,江苏省扬州市,江南大学,2019
王运敏,安徽省砀山市,江西理工大学,2019
陈薇,浙江省兰溪市,军事医学科学院,2019
杨春和,江西省宜春市,美国内华达大学,2019
张小曳,陕西省西安市,南京大学,2019
向锦武,湖南省平江县,南京航空航天大学,2019
涂善东,福建省龙岩市,南京化工学院,2019
胡培松,浙江省桐庐县,南京农业大学,2019
赵振堂,黑龙江省密山市,清华大学,2019
刘仲华,湖南省衡阳市,清华大学,2019
单忠德,山东省高密市,清华大学,2019
庄惟敏,上海市,清华大学,2019
郑纬民,浙江省宁波市,清华大学,2019
宫声凯,辽宁省盖县,日本东京工业大学,2019
田伟,北京市,日本国立弘前大学,2019
王军志,甘肃省兰州市,日本三重大学,2019
尚红,辽宁省铁岭市,日本山梨医科大学,2019
徐青,湖北省武汉市,上海交通大学,2019
黄震,上海,上海交通大学,2019
沈洪兵,江苏省启东市,上海医科大学,2019
张喜刚,河南省许昌市,同济大学,2019
吕西林,陕西省岐山县,同济大学,2019
任洪强,河北省涿州市,无锡轻工大学,2019
王桥,重庆市江津区,武汉测绘科技大学,2019
陈军,安徽省霍邱县,武汉测绘学院,2019
彭寿,安徽省桐城市,武汉理工大学,2019
姚富强,安徽省铜陵市枞阳县,西安电子科技大学,2019
