姓名,出生地,毕业院校,当选年份
刘宝琛,辽宁省开源市,波兰科学院,1994
李京文,广西陆川,俄罗斯经济大学,1994
章基嘉,安徽省绩溪,交通大学,1994
戚元靖,湖北省武汉,列宁格勒建筑工程学院,1994
陈士橹,浙江省东阳市,清华大学,1994
林华,上海市,上海光华大学,1994
蒋新松,江苏江阴,上海交通大学,1994
江绍基,江苏无锡,上海圣约翰大学,1994
张维,北京,唐山交通大学,1994
李国豪,广东省梅县,同济大学,1994
李恒德,河南省洛阳市,西北工学院,1994
潘家铮,浙江绍兴,浙江大学,1994
楼之岑,浙江省安吉县,浙江省立湘湖乡村师范学校,1994
闵恩泽,四川省成都市,中央大学,1994
赵仁恺,江苏南京,中央大学,1994
郑哲敏,山东省济南市,清华大学,1994
汪旭光,安徽省枞阳县,安徽大学,1995
曾士迈,北京市,北京大学,1995
任阵海,河北省大名县,北京大学,1995
翟光明,湖北省宜昌市,北京大学,1995
翟光明,湖北省宜昌市,北京大学,1995
朱建士,湖南省长沙市,北京大学,1995
李泽椿,江苏省南京市,北京大学,1995
唐孝炎,江苏省太仓市,北京大学,1995
范滇元,云南省昆明市,北京大学,1995
徐端夫,浙江省杭州市,北京大学,1995
钱绍钧,浙江省平湖市,北京大学,1995
汤中立,安徽省安庆市,北京地质学院,1995
李东英,北京市,北京辅仁大学,1995
钟掘,江西省南昌市,北京钢铁工业学院,1995
周邦新,湖北省武昌市,北京钢铁学院,1995
毛二可,内蒙自治区赤峰市,北京工业学院,1995
刘大响,湖南省祁东县,北京航空学院,1995
张福泽,辽宁省岫岩县,北京航空学院,1995
刘兴洲,天津市,北京航空学院,1995
乐嘉陵,浙江省镇海市,北京航空学院,1995
徐匡迪,浙江省崇德县,北京科技大学,1995
徐匡迪,浙江省崇德县,北京科技大学,1995
王小谟,上海市金山区,北京理工大学,1995
石玉麟,福建省福州市,北京农业大学,1995
辛德惠,辽宁省开原,北京农业大学,1995
时铭显,江苏省常熟市,北京石油学院,1995
吴阶平,江苏常州,北平燕京大学,1995
薛禹胜,江苏省无锡市,比利时列日大学,1995
周光耀,浙江省宁波市,大连工学院,1995
殷国茂,山东省龙口市,大连理工大学,1995
左铁镛,北京市,东北大学,1995
徐旭常,江苏省常州市,东北工学院,1995
钱鸣高,江苏省无锡市,东北工学院,1995
马建章,辽宁省阜新市,东北林学院,1995
丁传贤,江苏省海门市,复旦大学,1995
周君亮,江苏省无锡市,复旦大学,1995
关兴亚,辽宁省沈阳市,复旦大学,1995
袁业立,山东省荣成市,复旦大学,1995
胡思得,浙江省宁波市,复旦大学,1995
黄耀祥,广东省开平,国立中山大学,1995
林尚扬,福建省厦门市,哈尔滨工业大学,1995
郭重庆,甘肃省兰州市,哈尔滨工业大学,1995
郭重庆,甘肃省兰州市,哈尔滨工业大学,1995
饶芳权,广东省梅州市,哈尔滨工业大学,1995
饶芳权,广东省梅州市,哈尔滨工业大学,1995
汤鸿霄,河北省徐水县,哈尔滨工业大学,1995
李圭白,河南省偃师县,哈尔滨工业大学,1995
徐滨士,黑龙江省哈尔滨市,哈尔滨工业大学,1995
姜文汉,浙江省平湖县,哈尔滨工业大学,1995
李明,广东省三水市,哈尔滨军事工程学院,1995
刘筠,湖南省武冈,湖南大学,1995
